"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","EVAP","MNPN","MXPN","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WDMV","WSF2","WSF5"
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-01-01",,,,,,"0.00","0.0",,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-01-02",,,,,,"0.00","0.0",,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-01-03",,,,,,"0.00","0.0",,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-01-04",,,,,,"0.14",,,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-01-05",,,,,,"0.00","0.0",,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-01-06",,,,,,"0.00","0.0",,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-01-07",,,,,,"0.00","0.0",,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-01-08",,,,,,"0.14",,,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-01-09",,,,,,"0.17",,,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-01-10",,,,,,"0.00",,,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-01-13",,,,,,,,,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-01-14",,,,,,"0.07",,,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-01-15",,,,,,"0.03",,,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-01-16",,,,,,"0.12",,,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-01-17",,,,,,"1.19",,,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-01-18",,,,,,"0.00","0.0",,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-01-19",,,,,,"0.00","0.0",,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-01-20",,,,,,"0.00","0.0",,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-01-21",,,,,,"0.09",,,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-01-22",,,,,,"0.50",,,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-01-23",,,,,,"0.00","0.0",,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-01-24",,,,,,"0.01",,,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-01-25",,,,,,"0.02",,,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-01-31",,,,,,,,,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-02-01",,,,,,"0.00","0.0",,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-02-02",,,,,,"0.00","0.0",,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-02-03",,,,,,"0.00","0.0",,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-02-04",,,,,,"0.00","0.0",,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-02-05",,,,,,"0.00","0.0",,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-02-06",,,,,,"0.00","0.0",,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-02-07",,,,,,"0.00","0.0",,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-02-08",,,,,,"0.00","0.0",,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-02-09",,,,,,"0.00","0.0",,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-02-10",,,,,,"0.00","0.0",,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-02-11",,,,,,"0.00","0.0",,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-02-12",,,,,,"0.00","0.0",,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-02-13",,,,,,"0.00","0.0",,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-02-14",,,,,,"0.00","0.0",,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-02-15",,,,,,"0.00","0.0",,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-02-16",,,,,,"0.00","0.0",,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-02-17",,,,,,"0.00","0.0",,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-02-18",,,,,,"0.00","0.0",,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-02-19",,,,,,"0.00","0.0",,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-02-20",,,,,,"0.00","0.0",,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-02-21",,,,,,"0.00","0.0",,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-02-22",,,,,,"0.00","0.0",,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-02-23",,,,,,"0.00","0.0",,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-02-24",,,,,,"0.00","0.0",,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-02-25",,,,,,"0.00","0.0",,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-02-26",,,,,,"0.00","0.0",,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-02-27",,,,,,"0.00","0.0",,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-02-28",,,,,,"0.00","0.0",,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-02-29",,,,,,"0.00","0.0",,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-03-01",,,,,,"0.00","0.0",,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-03-02",,,,,,"0.00","0.0",,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-03-03",,,,,,"0.00","0.0",,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-03-04",,,,,,"0.00","0.0",,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-03-05",,,,,,"0.00","0.0",,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-03-06",,,,,,"0.00","0.0",,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-03-07",,,,,,"0.00",,,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-03-08",,,,,,"0.04",,,,,,,,,,
"US1CANP0003","CALISTOGA 0.4 SSE, CA US","38.5764","-122.578","106.1","2020-03-09",,,,,,"0.00","0.0",,,,,,,,,
